ID,Zimmer,Quadratmet,Preis,PLZ,Adresse,AdressePLZ,City,Canton,Country,result_num,osm_id,display_na,category,type,latlong,full_id,osm_id_2,osm_type,railway,layer,start_date,name:ja,light_rail,local_ref,network:wikidata,ref_name,nat_name,old_name,wheelchair:description,level,tactile_paving,wheelchair,uic_ref,uic_name,tram,ref,public_transport,operator,network,name,ele,n,distance,feature_x,feature_y,nearest_x,nearest_y
"11","3","91","3010","8006",Winterthurerstrasse 85,"Winterthurerstrasse 85, 8006",Zurich,Zurich,Switzerland,"0","81031293","85, Winterthurerstrasse, Oberstrass, Kreis 6, Zürich, Bezirk Zürich, Zürich, 8006, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.39106295,8.545090236838394",n262980090,"262980090",node,tram_stop,,,,,,,,,,,,,,"8591255","Zürich, Letzistrasse",yes,"1550",stop_position,VBZ,ZVV,Letzistrasse,"489","1",0.000390096971858135,8.54509023683839,47.39106295,8.545433,47.3908767
"12","3","84","3220","8064",Wuerzwies 9,"Wuerzwies 9, 8064",Zurich,Zurich,Switzerland,"0","53560041","9, Würzwies, Werdwies, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8064, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3979025,8.492847116023965",n29798217,"29798217",node,tram_stop,,,,,,,,,,,,,yes,"8591402","Zürich, Tüffenwies",yes,"2707",stop_position,VBZ,ZVV,Tüffenwies,"401","1",0.00131792725659796,8.49284711602396,47.3979025,8.4938689,47.3970701
"13","3","81","4740","8003",Zelgstrasse 1,"Zelgstrasse 1, 8003",Zurich,Zurich,Switzerland,"0","11056390823","1, Zelgstrasse, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8003, Schweiz/Suisse/Svizzera/Svizra",man_made,surveillance,"47.36695,8.5227744",n4881705891,"4881705891",node,tram_stop,,,,,,,,,,,,,,"8591341","Zürich, Schmiede Wiedikon",yes,"2256",stop_position,VBZ,ZVV,Schmiede Wiedikon,"414","1",0.00421040080752181,8.5227744,47.36695,8.519793,47.369923
"14","3","91","6930","8045",Wolframplatz 1,"Wolframplatz 1, 8045",Zurich,Zurich,Switzerland,"0","238894521","Züri drü Boardinghouse, 1, Wolframplatz, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8045, Schweiz/Suisse/Svizzera/Svizra",building,residential,"47.3622153,8.522196068843808",n2456957719,"2456957719",node,tram_stop,,,,,,,,,Utobrücke,,,,,"8591366","Zürich, Sihlcity Nord",yes,"2771",stop_position,VBZ,ZVV,Sihlcity Nord,"420","1",0.00237487181730025,8.52219606884381,47.3622153,8.5228083,47.3599207
"15","3","83","2740","8051",Grosswiesenstrasse 165,"Grosswiesenstrasse 165, 8051",Zurich,Zurich,Switzerland,"0","513586616","165, Grosswiesenstrasse, Hirzenbach, Kreis 12, Zürich, Bezirk Zürich, Zürich, 8051, Schweiz/Suisse/Svizzera/Svizra",building,residential,"47.40329025,8.58972705",n94689701,"94689701",node,tram_stop,,,,,,,,,,,,,,"8591194","Zürich, Hirzenbach",yes,"1220",stop_position,VBZ,ZVV,Hirzenbach,"428","1",0.00128476942872931,8.58972705,47.40329025,8.5910052,47.40316
"16","3","67","2650","8006",Universitaetstrasse 73,"Universitaetstrasse 73, 8006",Zurich,Zurich,Switzerland,"0","97234514","73, Universitätstrasse, Oberstrass, Kreis 6, Zürich, Bezirk Zürich, Zürich, 8006, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.38250465,8.547922758363601",n2280214788,"2280214788",node,tram_stop,,,,,,,,,,,,,,"8591433","Zürich, Winkelriedstrasse",yes,"2924",stop_position,VBZ,ZVV,Winkelriedstrasse,"486","1",0.000443090342962481,8.5479227583636,47.38250465,8.5481244,47.3828992
"17","3","87","2510","8050",Viktoriastrasse 61,"Viktoriastrasse 61, 8050",Zurich,Zurich,Switzerland,"0","89177941","61, Viktoriastrasse, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.406122350000004,8.550913739729301",n2282178049,"2282178049",node,tram_stop,,,,,,,,,,,,yes,,"8591332","Zürich, Salersteig",yes,"2151",stop_position,VBZ,ZVV,Salersteig,"453","1",0.00253876465542456,8.5509137397293,47.40612235,8.548375,47.4061111
"18","3","98","2890","8045",Uetlibergstrasse 29,"Uetlibergstrasse 29, 8045",Zurich,Zurich,Switzerland,"0","343991305","29, Uetlibergstrasse, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8045, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.364025850000004,8.520723140083216",n2456957719,"2456957719",node,tram_stop,,,,,,,,,Utobrücke,,,,,"8591366","Zürich, Sihlcity Nord",yes,"2771",stop_position,VBZ,ZVV,Sihlcity Nord,"420","1",0.0046043618885863,8.52072314008322,47.36402585,8.5228083,47.3599207
"19","3","83","3960","8032",Zeltweg 49,"Zeltweg 49, 8032",Zurich,Zurich,Switzerland,"0","342456131","49, Zeltweg, Hottingen, Kreis 7, Zürich, Bezirk Zürich, Zürich, 8032, Schweiz/Suisse/Svizzera/Svizra",building,residential,"47.367925,8.552201649215174",n2297304044,"2297304044",node,tram_stop,,,,,,,,,,,,,,"8591202","Zürich, Hottingerplatz",yes,"1251",stop_position,VBZ,ZVV,Hottingerplatz,"430","1",0.00285362649171367,8.55220164921517,47.367925,8.554681,47.3693378
"20","3","89","3710","8032",Waldschulweg 21,"Waldschulweg 21, 8032",Zurich,Zurich,Switzerland,"0","113190931","21, Waldschulweg, Hirslanden, Kreis 7, Zürich, Bezirk Zürich, Zürich, 8032, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.36395055,8.572258976315858",n2297460959,"2297460959",node,tram_stop,,,,,,,,,,,,,limited,"8591429","Zürich, Wetlistrasse",yes,"2879",stop_position,VBZ,ZVV,Wetlistrasse,"450","1",0.00533291637951893,8.57225897631586,47.36395055,8.5685987,47.3600721
