Zimmer,Quadratmeter,Preis,Adresse,PLZ,Ort
3.5,45,2500,Eichgutstr. 2,8400,Winterthur
3.5,47,2310,Rütistr. 34,8134,Adliswil
3.5,140,2890,Seilerwis 5,8606,Greifensee
2.0,52,3380,Röslistr. 57,8006,Zürich
3.5,36,2130,Weststrasse 82,8620,Wetzikon ZH
3.5,43,3370,Grabenwies 2,8057,Zürich
2.5,150,4190,Dammstrasse / Fabrikgasse,8810,Horgen
3.5,140,3930,Dammstrasse / Fabrikgasse,8810,Horgen
3.5,140,3270,Spinnereistrasse 19,8192,Glattfelden
3.5,140,2980,Spinnereistrasse 7,8192,Glattfelden
3.5,150,3310,Nidermattweg 7,8192,Glattfelden
2.5,,3480,Uetlibergstrasse 48,8045,Zürich
3.5,42,2860,Tuchmacherstrasse 36,8041,Zürich
3.5,41,2470,Alte Landstrasse 12,8800,Thalwil
2.0,49,2660,Giebeleichstrasse 28,8152,Glattbrugg
3.5,45,1910,Wingertlistrasse 39,8405,Winterthur
2.5,59,4260,Forchstrasse 94,8008,Zürich
1.0,36,1900,Seilerwis 1,8606,Greifensee
2.5,130,4980,Frohalpstrasse 89,8038,Zürich
2.5,140,5690,Pfingstweidstrasse 94,8005,Zürich
4.0,,3490,Oberhubstrasse 103,8125,Zollikerberg
2.5,62,4270,Käferholzstrasse 60,8057,Zürich
2.5,60,2620,Reutlenring 4,8302,Kloten
3.5,230,3730,Schlossbergstrasse 13,8408,Winterthur
2.5,19,2350,Hohlstrasse 100,8004,Zürich
3.5,120,3020,Messikommerstrasse 54,8620,Wetzikon
2.5,58,3050,Dorfstrasse 12,8484,Weisslingen
2.0,13,1500,Weiningerstrasse 48,8103,Unterengstringen
3.5,150,3670,Alte Obfelderstrasse 33,8910,Affoltern am Albis
3.5,150,5470,Buckhauserstrasse 45,8048,Zürich
2.0,57,2370,Feldstrasse 43,8902,Urdorf
1.0,30,1940,Obstgartenstr. 26,8136,Gattikon
3.5,160,3600,Rebweg 35,8309,Nürensdorf
3.5,150,2800,Im Pünt 49,8105,Watt
3.5,57,4620,Mühlebachstr. 19,8008,Zürich
2.0,56,4950,Zeunerstrasse 11,8037,Zürich
2.5,38,1420,Lindenstr. 17,8302,Kloten
1.0,,3430,Sennhauserweg 19,8032,Zürich
2.5,42,2310,Speerstr. 1,8820,Wädenswil
2.5,120,4470,Brunnenbühlstrasse 13,8632,Dürnten
2.0,40,2170,Dorfstr. 12,8037,Zürich
2.0,120,3600,Kraftstr. 15,8044,Zürich
3.5,140,2730,Am Aabach 16,8344,Bäretswil
2.5,63,6570,Wuhrstrasse 30,8003,Zürich
2.5,33,2580,Fähnlibrunnenstr. 5,8700,Küsnacht ZH
2.0,53,3050,Kraftstr. 15,8044,Zürich
2.5,60,4120,Rütelerstrasse 14,8810,Horgen
3.5,180,5490,Heerenschürlistrasse 8A,8051,Zürich
3.5,52,2450,Poststrasse 10,8620,Wetzikon ZH
3.5,33,2890,Bombachstrasse 4e,8049,Zürich
3.5,140,3360,Neumattstr. 12,8953,Dietikon
2.0,,2330,Hügelstrasse 13,8002,Zürich
3.5,160,7920,General Wille-Strasse 8,8002,Zürich
3.5,200,5600,Embracherstrasse 18,8185,Winkel
3.5,43,3710,Haldenstrasse 18,8134,Adliswil
3.5,200,4530,Euelstrasse 58,8408,Winterthur
3.5,,5540,Klotenerstrasse,8304,Wallisellen
2.5,170,6990,Rebwiesstr. 62,8702,Zollikon
2.5,120,4790,Käferholzstrasse 42,8057,Zürich
2.5,160,2920,Schützenstrasse 19,8245,Feuerthalen
3.5,120,5080,Rebwiesstr. 58,8702,Zollikon
2.5,51,4130,Susenbergstrasse 142,8044,Zürich
1.0,31,2440,Püntweg 2,8303,Bassersdorf
3.0,220,7510,Walchestr. 25,8006,Zürich
3.5,64,3200,Solarstrasse 9,8404,Winterthur
3.5,38,3020,Seestrasse 57 - Villa Silvia,8708,Männedorf
3.5,33,2230,Bahnhofstrasse 50,8180,Bülach
3.5,38,1940,Weggengasse 3,8335,Hittnau
2.0,50,3020,Wiesliacher 14,8053,Zürich
3.5,,4090,Breitwiesstr. 22,8135,Langnau am Albis
3.5,150,5470,Käferholzstrasse 42,8057,Zürich
3.5,120,5630,Aemtlerstr. 17,8003,Zürich
3.5,55,3280,Im Grund 13,8424,Embrach
2.5,56,5090,Eugen-Huber-Str. 113,8048,Zürich
2.0,43,2490,Luegislandstr. 56,8051,Zürich
2.5,24,1920,Zürichstrasse 81,8910,Affoltern a. Albis
3.5,61,3260,Bahnhofstrasse 23,8320,Fehraltorf
3.5,140,3490,Rosenstrasse 3,8623,Wetzikon ZH
5.5,230,3690,"Chälenweg 1, Wohnhaus",8607,Aathal-Seegräben
3.5,41,1940,Einsiedlerstrasse 242,8810,Horgen
2.5,61,2630,Einsiedlerstrasse 242,8810,Horgen
2.0,10,2080,Universitätsstrasse 110,8006,Zürich
2.5,160,3360,Oberseenerstrasse 16,8405,Winterthur
2.0,63,3020,Im Geren 3,8902,Urdorf
3.5,140,2980,Ulmenstrasse 5,8636,Wald
2.5,57,2370,Glärnischstrasse 70,8618,Oetwil am See
2.5,56,2800,Chüeweid 3,8906,Bonstetten
2.5,47,2470,Hofstrasse 3,8707,Uetikon am See
2.0,52,3860,Forchstrasse 347,8008,Zürich
3.5,41,3350,Käferholzstrasse 44,8057,Zürich
2.0,,1150,"Dorfstrasse 7, 8483 Kollbrunn",8483,Kollbrunn
2.0,52,5200,Forchstrasse 22,8008,Zürich
3.5,44,2740,Dolomitgasse 2,8180,Bülach
1.0,36,1970,Seilerwis 7,8606,Greifensee
2.0,10,1960,Universitätsstrasse 110,8006,Zürich
2.0,170,7250,Kniebrecheweg 7,8810,Horgen
3.5,36,2040,Wattstrasse 20,8307,Effretikon
2.5,63,3300,Lebernstrasse 8,8309,Nürensdorf
3.5,190,4920,Müsli 7,8824,Schönenberg ZH
2.0,120,6160,Limmatquai 86 / Köngengasse 2,8001,Zürich
3.5,150,3330,Neunfornerstrasse 11,8475,Ossingen
2.5,17,2470,Müllerstrasse 76,8004,Zürich
2.5,49,2520,Chilegass 2,8484,Weisslingen
3.5,30,3240,Schaffhauserstr. 438,8050,Zürich
2.5,59,3280,Neuhardstrasse 9,8105,Regensdorf
3.5,150,5460,Birchstrasse 183B,8050,Zürich
2.5,59,3820,Alte Landstrasse,8804,Au ZH
3.5,33,3530,Eugen-Huber-Str. 115,8048,Zürich
2.5,150,5270,Alte Landstr. 64,8800,Thalwil
3.5,57,4360,Forchstrasse 261,8032,Zürich
3.5,56,4470,Forchstrasse 261,8032,Zürich
3.5,140,3170,Seeblickstrasse 2b,8610,Uster
2.5,,3180,Chränzlerstrasse 15,8302,Kloten
1.0,43,2040,Einsiedlerstrasse 234,8810,Horgen
2.5,29,3530,Zurlindenstrasse 111,8003,Zürich
2.0,13,2320,Lindenstrasse 8,8304,Wallisellen
2.5,49,4410,Siewerdtstrasse 19,8050,Zürich
3.5,41,4240,Siewerdtstrasse 19,8050,Zürich
3.5,140,4320,Überlandstrasse 18,8953,Dietikon
2.5,54,3240,Grossackerstrasse 71,8041,Zürich
3.5,64,3000,Am Leebach 10,8498,Gibswil
3.5,64,2720,Neugutstrasse 4,8450,Andelfingen
3.5,45,4610,Jenatschstrasse 3,8002,Zürich
3.5,170,8160,Rainweg 2,8704,Herrliberg
2.5,36,3590,Fähnlibrunnenstr. 5,8700,Küsnacht ZH
3.5,280,4660,Büelstrasse 36,8143,Stallikon
1.0,,1960,Badenerstrasse 54,8953,Dietikon
1.0,41,,Nauengasse 14,8427,Rorbas
3.5,40,3300,Säntisstrasse 6a,8942,Oberrieden
2.0,56,5050,Seestrasse 79,8702,Zollikon
3.5,150,4480,Weinbergstrasse 33,8302,Kloten
2.0,48,2710,Buchzelgstrasse 66,8053,Zürich
2.0,,1620,Zürcherstrasse 24,8952,Schlieren
1.0,33,2340,Badenerstrasse 88a,8952,Schlieren
2.5,44,2650,Humrigenstr. 61,8704,Herrliberg
3.5,130,4210,Wehntalerstr. 572,8046,Zürich
2.0,58,2830,Chürzistrasse 19,8600,Dübendorf
3.5,55,3060,Breitenstrasse 8,8134,Adliswil
,,180,Im Wiesengrund 8,8304,Wallisellen
1.0,35,1680,Am Pfisterhölzli 48,8606,Greifensee
3.5,170,3360,Botzengasse 3,8416,Flaach
2.0,160,3990,Tramstrasse 71,8050,Zürich
3.5,150,3670,Pfruendhofstrasse 48,8910,Affoltern am Albis
2.5,57,2850,Lärchenstr. 6,8180,Bülach
3.5,120,3270,Nauenstrasse 7d,8635,Dürnten
3.5,150,4190,Dammstrasse / Fabrikgasse,8810,Horgen
2.5,140,4510,Dammstrasse / Fabrikgasse,8810,Horgen
3.5,36,2830,Dammstrasse / Fabrikgasse,8810,Horgen
2.5,61,3240,Else-Züblin-Strasse 75,8404,Winterthur
4.5,300,5600,Bochslenstr. 22,8634,Hombrechtikon
3.5,48,4140,Höschgasse 78,8008,Zürich
3.5,120,2590,Nauengasse 24,8427,Rorbas
3.5,120,2870,Lindenhof 14,8604,Volketswil
1.0,43,2250,Ifangweg 11,8610,Uster
1.0,38,1840,Kantonsschulstr. 2,8180,Bülach
3.5,,5150,Sonnenbergstrasse 16,8032,Zürich
3.5,,7400,Sonnenbergstrasse 16,8032,Zürich
2.5,,6280,Sonnenbergstrasse 16,8032,Zürich
2.5,45,2390,Rössligasse 11,8180,Bülach
2.5,140,3600,Zelgli 7,8413,Neftenbach
2.5,150,4100,Albisriederstrasse 278,8047,Zürich
3.5,150,3180,Im Welschland 4,8910,Affoltern a.A.
3.5,51,4140,Turbinenstrasse 60,8005,Zürich
2.0,41,2100,Burgstrasse 56,8610,Uster
2.0,140,,Seestrasse 567,8038,Zürich
2.5,60,3350,Wehntalerstr. 327,8106,Adlikon b.Regensdorf
2.5,47,2610,Drusbergstrasse 19,8810,Horgen
2.5,57,3300,Kühriedweg 28,8050,Zürich
3.5,130,3360,Bergstrasse 22,8954,Geroldswil
3.5,,2950,Landstrasse 65,8197,Rafz
3.5,160,3950,Sonnenbergstrasse 48,8603,Schwerzenbach
3.5,39,3950,Kurvenstrasse 1,8006,Zürich
3.0,200,8290,Forchstrasse 62,8008,Zürich
2.5,120,3080,Hänkelbodenstrasse 3,8173,Neerach
3.5,45,2370,Riedacherstrasse 3,8173,Neerach
2.5,55,2800,Gartenhof 24,8408,Winterthur
3.5,49,3640,Seestrasse 57 - Villa Silvia,8708,Männedorf
2.5,43,3190,Seestrasse 57 - Villa Silvia,8708,Männedorf
3.5,49,3760,Schlimbergstrasse 14,8802,Kilchberg
2.0,55,2520,Hugostrasse 10,8050,Zürich
3.5,63,2120,Bahnhofstrasse 85,8245,Feuerthalen
2.5,55,2440,Hindergartenstr. 19/13,8447,Dachsen
2.0,,2070,Bücklerstrasse 26,8181,Höri
3.5,170,7320,Rainweg 2,8704,Herrliberg
2.5,200,5080,Feldstrasse 16,8400,Winterthur
3.5,40,2040,Dorfstrasse 6a,8484,Weisslingen
2.5,140,2700,Schlossgasse 8,8466,Trüllikon
2.0,,1150,Brunngasse,8400,Winterthur
2.5,,2680,Gerblenstr. 2,8632,Tann
3.5,64,3750,Riedthofstrasse 68,8105,Regensdorf
3.5,150,3570,Lindenweg 7,8487,Zell
4.5,250,4670,Chofelstrasse 2,8174,Stadel b. Niederglatt
1.0,47,8680,Birchstrasse 180,8050,Zürich
1.0,36,6030,Birchstrasse 180,8050,Zürich
3.5,63,3210,Winterthurerstr. 346,8057,Zürich
2.0,48,8650,Birchstrasse 180,8050,Zürich
3.5,63,2280,Ifangstrasse 3,8604,Volketswil
3.5,,3530,Webergasse 3,8416,Flaach
2.5,,3140,Webergasse 3,8416,Flaach
1.0,34,2900,Würzwies 9,8064,Zürich
2.0,,1360,Rietbachstrasse,8952,Schlieren
3.5,61,7860,Limmatquai 84,8001,Zürich
3.5,240,4530,Alpenstrasse 29,8620,Wetzikon
3.5,46,5110,Lärchenweg 5,8802,Kilchberg
3.5,160,5500,Krästelstrasse,8106,Adlikon b. Regensdorf
2.0,41,2100,Burgstrasse 56,8610,Uster
2.0,140,,Seestrasse 567,8038,Zürich
2.5,60,3350,Wehntalerstr. 327,8106,Adlikon b.Regensdorf
2.5,47,2610,Drusbergstrasse 19,8810,Horgen
2.5,57,3300,Kühriedweg 28,8050,Zürich
3.5,130,3360,Bergstrasse 22,8954,Geroldswil
3.5,,2950,Landstrasse 65,8197,Rafz
3.5,160,3950,Sonnenbergstrasse 48,8603,Schwerzenbach
3.5,39,3950,Kurvenstrasse 1,8006,Zürich
3.0,200,8290,Forchstrasse 62,8008,Zürich
2.5,120,3080,Hänkelbodenstrasse 3,8173,Neerach
3.5,45,2370,Riedacherstrasse 3,8173,Neerach
2.5,55,2800,Gartenhof 24,8408,Winterthur
3.5,49,3640,Seestrasse 57 - Villa Silvia,8708,Männedorf
2.5,43,3190,Seestrasse 57 - Villa Silvia,8708,Männedorf
2.0,55,2520,Hugostrasse 10,8050,Zürich
3.5,63,2120,Bahnhofstrasse 85,8245,Feuerthalen
2.5,55,2440,Hindergartenstr. 19/13,8447,Dachsen
2.0,,2070,Bücklerstrasse 26,8181,Höri
3.5,170,7320,Rainweg 2,8704,Herrliberg
2.0,20,2210,Gladbachstr. 8,8006,Zürich
2.5,54,2430,Ruchwiesenstr. 50,8404,Winterthur
3.5,120,2530,Lindenhof 10,8604,Volketswil
4.5,190,4270,Weihermattstrasse 5,8902,Urdorf
2.0,,1110,Kalkbreitestrasse 56,8003,Zürich
3.5,37,2180,Meierackerstrasse 2,8610,Uster
2.5,57,2330,Ettenhauserstr. 56,8620,Wetzikon ZH
3.5,120,3620,Magazingasse 2,8400,Winterthur
3.5,190,4730,Alte Hedingerstrasse 4,8910,Affoltern am Albis
3.5,46,2500,Spitalstrasse 76,8952,Schlieren
7.0,580,19820,,,
2.5,190,7000,Giessereistrasse,8005,Zürich
3.5,120,2800,Sankt Gallerstrasse 10,8488,Turbenthal
2.5,43,1940,Sonnenblickstr. 10,8404,Winterthur
1.0,36,2200,Albisstrasse 78,8134,Adliswil
2.5,49,2280,Im Guet 20,8172,Niederglatt ZH
2.5,47,2460,Taleggstrasse 5,8953,Dietikon
2.5,51,2530,Bundtstrasse 19,8127,Forch
2.5,47,2380,Kornstrasse 5,8603,Schwerzenbach
2.5,51,2180,Illnauerstrasse 33,8307,Effretikon
2.5,54,2880,Schwarzackerstrasse 29,8304,Wallisellen
3.5,41,3310,Oerlikonerstrasse 87,8057,Zürich
2.5,52,2560,Naglikonerweg 7,8804,Au ZH
2.5,54,3170,Dorfstrasse 28,8904,Aesch ZH
3.5,57,2580,Vortauenstrasse 3,8108,Dällikon
3.5,43,2030,Auf Pünten 33,8405,Winterthur
2.5,52,2500,Sennhüttenstrasse 5,8805,Richterswil
2.0,8,1840,Seestrasse 65,8002,Zürich
2.5,140,2560,Im Fleudebüel 2,8460,Marthalen
3.5,45,3180,Dammstrasse / Fabrikgasse,8810,Horgen
3.5,35,2730,Dammstrasse / Fabrikgasse,8810,Horgen
2.5,57,2350,Spitalstr. 153,8620,Wetzikon ZH
2.5,45,2230,Mülistr. 11,8320,Fehraltorf
3.5,47,2880,"Überlandstrasse 437, 8051 Zürich",8051,Zürich
2.0,15,2130,Ankerstrasse 110,8004,Zürich
2.0,25,2050,Wagnerweg 6,8810,Horgen
3.5,120,2720,Neu Letten 5a,8192,Zweidlen
3.5,140,3490,Ackerstr. 158,8604,Volketswil
3.5,32,2030,Kasernenstr. 50,8180,Bülach
2.0,43,2080,Breitwiesstr. 7,8135,Langnau am Albis
2.0,45,2260,Römerstrasse 236,8404,Winterthur
2.5,52,2660,Nauenstrasse 7e,8635,Dürnten
2.5,36,2520,Dammstrasse / Fabrikgasse,8810,Horgen
2.5,37,2830,Dammstrasse / Fabrikgasse,8810,Horgen
3.5,,2470,Ebnetstrasse 6,8406,Winterthur
3.5,45,2500,Zelgli 10,8413,Neftenbach
3.5,120,2800,Spitalstr. 155,8620,Wetzikon ZH
2.0,41,2190,Wallrütistr. 113,8404,Winterthur
2.0,46,2370,Melchior Hirzelweg 4,8910,Affoltern am Albis
3.5,140,5480,Florastrasse 7,8700,Küsnacht ZH
2.5,45,2530,Lindenweg 5,8487,Zell
3.5,130,3470,Haldenstrasse,8320,Fehraltorf
2.5,20,2840,Altbergstrasse 2,8953,Dietikon
3.5,56,2750,Bergstrasse 8,8954,Geroldswil
2.0,140,2950,Hubstr. 8,8942,Oberrieden
2.0,,2070,Flurstrasse 12/14,8302,Kloten
2.5,50,2130,Baumackerstrasse 15,8107,Buchs ZH
3.5,38,1850,Bühlstrasse 1,8182,Hochfelden
3.5,32,2180,Magazingasse 2,8400,Winterthur
3.5,140,4400,Wasserschöpfi 17,8055,Zürich
1.0,34,2400,Gartenstrasse 9,8102,Oberengstringen
2.5,56,3200,Jakob Bosshart-Strasse 2,8425,Oberembrach
3.5,150,5570,Glärnischstrasse 37,8810,Horgen
2.5,160,6220,Freiestrasse 182,8032,Zürich
2.5,120,4140,Überlandstrasse 18,8953,Dietikon
2.5,57,2110,Binzacherweg 7,8166,Niederweningen
3.0,200,5030,Ackerstrasse 9,8180,Bülach
3.5,200,8620,Sonnentalstrasse 13,8600,Dübendorf
3.5,200,9010,Sonnentalstrasse 13,8600,Dübendorf
2.0,52,3600,Im Tiergarten 6b,8055,Zürich
3.5,27,2280,Letzigraben 165,8047,Zürich
3.5,,2720,Gschwaderstrasse 36,8610,Uster
3.5,220,16390,Hohenbühlstrasse 5,8032,Zürich
3.5,170,4240,Feldstrasse 26,8105,Regensdorf
3.5,56,2470,Rosengartenstrasse 13,8107,Buchs ZH
3.5,34,2490,In der Gass 8,8340,Hinwil
2.5,130,5950,Brandschenkestrasse 62,8002,Zürich
1.0,36,3340,Waldschulweg 21,8032,Zürich
3.5,52,3110,Brunnenbühlstrasse 13,8632,Dürnten
4.5,200,3820,Weierstrasse 119,8405,Winterthur
3.5,130,5290,Widmerstrasse 85,8038,Zürich
2.5,56,2970,Wiswandstr. 9,8542,Wiesendangen
2.5,46,3710,Badennerstrasse 155,8004,Zürich
2.5,52,3380,Boulevard Lilienthal 5 - Wohnungen,8152,Opfikon
3.5,45,3100,Boulevard Lilienthal 5 - Wohnungen,8152,Opfikon
3.5,160,3080,Poststrasse 8,8620,Wetzikon ZH
3.5,33,4800,Rotachstrasse 20,8003,Zürich
3.5,39,4800,Kalkbreitestrasse 41,8003,Zürich
3.5,55,2810,Alte Gfennstr. 8 C,8600,Dübendorf
1.0,27,2390,Universitätstr. 73,8006,Zürich
2.0,20,1550,Gutstrasse 13,8400,Winterthur
2.0,41,2660,Zürichstrasse 61,8600,Dübendorf
3.5,130,3440,Espenstrasse 78,8408,Winterthur
3.5,130,4930,Susenbergstrasse 144,8044,Zürich
3.5,41,2220,Tösstalstrasse 111a,8488,Turbenthal
2.0,57,5050,Schaffhauserstrasse 30,8006,Zürich
4.5,210,5050,Haldenstrasse 1,8155,Niederhasli
2.5,59,3020,Mülibachstr. 54/Haus H,8107,Buchs ZH
2.0,52,4740,Haldenbachstrasse 34,8006,Zürich
3.5,120,2810,Wattstrasse 28,8307,Effretikon
2.0,23,1450,Neuwiesenstr. 14,8400,Winterthur
3.5,44,2140,Alt-Ferrachstrasse 37b,8630,Rüti ZH
3.5,43,2780,Urdorferstr. 10,8142,Uitikon Waldegg
2.0,45,1970,Ifangstrasse 47,8604,Volketswil
1.0,39,1720,Kirchweg 112,8246,Langwiesen
2.5,61,5080,Gottlieb-Binder-Strasse 7,8802,Kilchberg ZH
2.0,49,2090,Im Zentrum 12,8604,Volketswil
3.5,39,2780,Sonnenbühlstrasse 2,8181,Höri
3.5,150,3190,Püntstrasse 20,8165,Oberweningen
3.5,170,4390,Rigistrasse 13,8006,Zürich
3.5,52,2260,Eilweg 8,8634,Hombrechtikon
2.5,120,5010,Beckenhofstrasse 60,8006,Zürich
2.5,54,2670,Alt-Ferrachstrasse 33a,8630,Rüti ZH
3.5,39,3330,Seestrasse 91,8820,Wädenswil
3.5,170,4060,Unterweg 25,8180,Bülach
2.5,50,2990,Kappenbühlweg 5,8049,Zürich
3.5,62,2840,Mühlestr. 4F,8912,Obfelden
3.5,45,4510,Klosbachstr. 50,8032,Zürich
2.5,52,2520,Ifangweg 3,8610,Uster
3.5,,2100,Hohle Gasse 11,8154,Oberglatt ZH
1.0,40,2610,Uetlibergstrasse 29,8045,Zürich
2.0,52,3860,Badenerstr. 274,8004,Zürich
2.0,45,2110,Ifangstrasse 48,8604,Volketswil
2.5,120,5840,Dufourstrasse 61,8008,Zürich
2.0,8,1570,St.Jakobstrasse 57,8004,Zürich
2.5,59,3240,Farmanstr. 31,8152,Glattpark (Opfikon)
2.5,,3600,Zürcherstrasse 63,8102,Oberengstringen
2.0,36,3210,Bremgartnerstrasse 30,8003,Zürich
3.5,,6240,Alte Landstrasse 101,8800,Thalwil
2.0,230,6450,Hardturmstrasse 253,8005,Zürich
3.5,160,4790,Zürichstrasse 77A,8134,Adliswil
3.5,160,2910,Drusbergstrasse 34,8810,Horgen
2.0,130,4170,Max Bill Platz 9,8050,Zürich
2.5,45,2050,Bahnhofstrasse 81,8245,Feuerthalen
3.5,61,2750,Bachtelstr. 56,8810,Horgen
2.0,42,2030,Breitwiesstr. 7,8135,Langnau am Albis
2.5,140,5160,Binzallee 24,8055,Zürich
3.5,140,4300,Boulevard Lilienthal 11,8152,Glattpark (Opfikon)
3.5,160,5370,Krästelstrasse 56,8106,Adlikon b. Regensdorf
2.5,59,5670,Grabenwies 30,8057,Zürich
3.5,41,2560,Im Langacker 13,8304,Wallisellen
1.0,34,3570,"Zeltweg 49, Zürich",8032,Zürich
3.5,41,3860,Limmatstrasse 27,8005,Zürich
2.5,160,4280,Feldstrasse 16,8400,Winterthur
2.0,20,2710,Ueberlandstrasse 11,8953,Dietikon
2.5,49,2630,Meisenweg 14,8600,Dübendorf
3.5,140,4510,Säumerstrasse 9,8803,Rüschlikon
3.5,43,2800,Unterdorfstrasse 6,8908,Hedingen
3.5,51,2790,"Engstringerstr. Gebäude D 5,",8952,Schlieren
3.5,38,2430,"Brandstr. C1 1,",8952,Schlieren
2.0,50,4380,Zeltweg 51,8032,Zürich
2.0,43,2340,Luegislandstr. 56,8051,Zürich
3.5,40,2230,Brunnenwiesenstr. 42,8610,Uster
2.5,27,2780,Mainaustrasse 49,8008,Zürich
2.5,28,2240,Jungholzstrasse 20,8050,Zürich
1.0,34,2700,Riedhofstrasse 378,8049,Zürich
3.5,42,2010,Sihlmatten 1,8134,Adliswil
2.5,54,2390,Sihlmatten 1,8134,Adliswil
2.0,56,2390,Blumenbergweg 20,8633,Wolfhausen
2.5,56,4110,Jungholzstrasse 48,8050,Zürich
3.5,140,4510,Brunaustr. 72,8002,Zürich
3.5,36,2000,Tösstalstrasse 171,8400,Winterthur
3.5,,3200,Im See 8,8187,Weiach
2.5,57,4400,"Allmannstrasse 55, 8052 Zürich",8052,Zürich
2.5,50,2330,Stöcklerstrasse 4,8610,Uster
2.5,55,4630,Forchstr. 26,8008,Zürich
3.5,61,2060,Forenackerstrasse 6,8246,Langwiesen
3.5,44,2410,Schöneggstrasse 23,8953,Dietikon
2.0,42,2040,Breitwiesstr. 7,8135,Langnau am Albis
2.0,41,3210,Birchstrasse 98,8050,Zürich
2.5,50,3400,Regensbergstrasse 30,8050,Zürich
2.5,140,5760,Frohalpstrasse 89,8038,Zürich
2.5,61,2670,Sophie-Guyerstrasse 17,8330,Pfäffikon ZH
3.5,150,3110,Moosbrunnenstrasse 9,8426,Lufingen
3.5,54,4950,Fritz Fleiner-Weg 11,8044,Zürich
3.5,120,4200,Pfingstweidstrasse 104E,8005,Zürich
3.5,26,1510,Tösstalstrasse 45 - 51,8636,Wald ZH
2.5,140,5030,Stampfenbachplatz 4,8006,Zürich
3.5,160,5310,Riedthofstrasse 75,8105,Regensdorf
3.5,52,2910,Gerlisbergstrasse 50,8303,Bassersdorf
4.0,,9330,,,
2.5,57,3150,"Brandstr. C1 1,",8952,Schlieren
2.0,,3100,Konradstrasse 77,8005,Zürich
3.5,47,4610,Jenatschstrasse 3,8002,Zürich
2.5,49,2360,Glärnischstr. 56,8618,Oetwil am See
1.0,33,2130,Luchswiesenstrasse 132,8051,Zürich
3.5,120,5340,"Allmannstrasse 55, 8052 Zürich",8052,Zürich
2.5,57,3040,"Engstringerstr. Gebäude C 5,",8952,Schlieren
3.5,35,3360,Hagenholzstrasse 59,8050,Zürich
,15,3340,Albertstrasse 7,8005,Zürich
4.5,340,4920,Austrasse 2,8545,Rickenbach ZH
,14,3070,Rotachstrasse 33,8003,Zurich
1.0,27,5090,Wolframplatz 1,8045,Zurich
2.5,53,2100,Rapperswilerstrasse 4,8630,Rüti ZH
2.5,57,2720,Hohrainlistrasse 37,8302,Kloten
2.5,57,4510,Seefeldstrasse 27,8008,Zürich
3.5,160,5400,Haldenstrasse 11,8302,Kloten
1.0,34,2220,Gartenstrasse 9,8102,Oberengstringen
2.5,60,3210,Im Staubeweidli 17,8820,Wädenswil
2.5,46,2540,Seestrasse 6,8610,Uster
2.0,17,2180,Breitensteinstrasse 59,8037,Zürich
2.0,17,1850,Zürichbergstrasse 114,8044,Zürich
2.0,13,1460,Weiningerstrasse 46,8103,Unterengstringen
2.0,40,,Marktgasse 45 / Metzggasse 18,8400,Winterthur
3.5,58,3760,,,
2.0,3,1140,Wangenstrasse 4,8600,Dübendorf
2.0,5,1660,Manessestrasse 128,8045,Zürich
2.0,150,10100,Weinbergstrasse 44,8006,Zürich
2.5,,2520,Sihlfeldstrasse 83,8004,Zürich
3.5,57,3600,Moosstrasse 25,8134,Adliswil
2.5,25,1590,Schaffhauserstr. 411,8050,Zürich
2.0,44,2200,Kilchbergsteig 2,8038,Zürich
1.0,,2180,Badenerstrasse 54,8952,Schlieren
1.0,34,2400,Gartenstrasse 9,8102,Oberengstringen
3.5,200,4530,,,
2.0,,3600,Freihofstrasse 16,8048,Zürich
2.5,56,3200,Jakob Bosshart-Strasse 2,8425,Oberembrach
2.0,8,1320,Fliederstrasse 3,8152,Glattbrugg
2.5,53,2600,Solarstrasse 5,8404,Winterthur
3.5,150,5570,Glärnischstrasse 37,8810,Horgen
2.5,160,6220,Freiestrasse 182,8032,Zürich
2.5,120,4140,Überlandstrasse 18,8953,Dietikon
2.0,,3860,Kurvenstrasse 8,8006,Zürich
2.0,42,1920,Mooswiesenweg 19,8404,Winterthur
2.5,57,2110,Binzacherweg 7,8166,Niederweningen
3.0,200,5030,Ackerstrasse 9,8180,Bülach
3.5,200,8620,Sonnentalstrasse 13,8600,Dübendorf
3.5,200,9010,Sonnentalstrasse 13,8600,Dübendorf
2.0,52,3600,Im Tiergarten 6b,8055,Zürich
3.5,45,3160,Riedmühlestrasse 55 C,8306,Brüttisellen
2.0,58,2390,Pfäffikerstrasse 34-38,8610,Uster
3.5,27,2280,Letzigraben 165,8047,Zürich
3.5,,2720,Gschwaderstrasse 36,8610,Uster
2.0,2,3470,Magnusstrasse 4,8004,Zürich
3.5,220,16390,Hohenbühlstrasse 5,8032,Zürich
1.0,37,2980,Freiestrasse 23,8032,Zürich
2.0,39,3470,Lessingstrasse 49,8002,Zürich
3.5,170,4240,Feldstrasse 26,8105,Regensdorf
3.5,56,2470,Rosengartenstrasse 13,8107,Buchs ZH
3.5,34,2490,In der Gass 8,8340,Hinwil
3.5,31,1760,Lindbergstrasse 22,8404,Winterthur
2.0,45,2160,Lindbergstrasse 22,8404,Winterthur
2.5,130,5950,Brandschenkestrasse 62,8002,Zürich
1.0,36,3340,Waldschulweg 21,8032,Zürich
3.5,52,3110,Brunnenbühlstrasse 13,8632,Dürnten
3.5,57,2540,Im Leemann 1,8805,Richterswil
