Zimmer,Quadratmeter,Preis,Adresse,PLZ,Ort
3.5,39,2950,Schaffhauserstrasse 439,8050,Zürich
2.0,40,4730,Im Lingg 2,8800,Thalwil
2.0,220,4370,Florastrasse 10,8610,Uster
2.0,38,2040,Erlenwiesenstrasse 23,8152,Glattbrugg
3.5,140,7360,Weinplatz 10,8001,Zürich
3.5,59,3520,Sonnenbergstrasse 55,8800,Thalwil
3.5,43,2520,Steinmürlistrasse 7,8953,Dietikon
2.5,57,2400,Heiselstrasse 100,8155,Niederhasli
1.0,36,2260,Viktoriastr. 61,8050,Zürich
4.5,250,7370,Scheideggstrasse 70,8002,Zürich
3.5,36,3150,Lochäckerstrasse 12,8302,Kloten
2.5,49,3120,Sandbuckweg 3a,8157,Dielsdorf
2.5,42,2100,Brunnenhof 1,8910,Affoltern am Albis
3.5,180,4530,Bücklerstrasse 11,8181,Höri
2.5,150,7580,Limmatstrasse 260,8005,Zürich
3.5,140,3640,Staldernstrasse 9,8158,Regensberg
2.5,28,3210,Rennweg 29,8001,Zürich
3.5,31,2700,"Hofackerstrasse 3, Hedingen, Zurich",8908,Hedingen
3.5,200,5730,Sängglenstrasse 7,8118,Pfaffhausen
,,2340,Engelsteinstrasse 70-74,8344,Adetswil
2.0,48,2640,Lochäckerstrass 35/37/39/41/43,8302,Kloten
2.5,45,2390,Im Wängli 11,8910,Affoltern am Albis
3.5,61,2770,Heusserstrasse 3,8634,Hombrechtikon
3.5,45,3280,Leimgrübelstrasse 22A,8052,Zürich
2.5,58,4240,Buckhauserstrasse 45,8048,Zürich
3.5,,7120,Lyrenweg,8047,Zürich
3.5,200,5270,Reismühleweg 40b,8409,Winterthur
2.0,45,2780,Eidmattstrasse 13,8820,Wädenswil
2.5,44,2630,Boulevard Lilienthal 54,8152,Glattpark (Opfikon)
2.0,49,3660,Brahmsstrasse 21,8003,Zürich
3.5,140,4180,Im Leeacher,8132,Egg
2.5,140,6350,,,
2.5,50,3110,Talweg 132,8610,Uster
2.5,50,2860,Im Langacker 17,8304,Wallisellen
3.5,63,2800,Müllerwis 6,8606,Greifensee
2.0,39,2830,Hungerbergstrasse 5,8046,Zürich
3.5,140,3600,Müllerwis 10,8606,Greifensee
1.0,37,2720,Winterthurerstr. 85,8006,Zürich
3.5,57,2930,Alte Gfennstr. 8 A,8600,Dübendorf
2.5,56,3320,Dennlerstr. 22,8047,Zürich
3.5,49,2930,Alpenstrasse 56A,8600,Dübendorf
3.5,47,3470,Ringstrasse 20,8600,Dübendorf
1.0,31,3200,Birmensdorferstrasse 101,8003,Zürich
3.5,,2100,Obere Wangenstrasse 2,8306,Brüttisellen
2.0,,2910,Rainackerstrasse,8953,Dietikon
2.5,54,3430,Chapfwiesenstrasse 8,8712,Stäfa
3.5,58,6040,Kreuzstrasse 78,8032,Zürich
2.5,49,5080,Kreuzstrasse 78,8032,Zürich
1.0,27,1510,Hauptstrasse 19,8637,Laupen ZH
2.5,36,3780,Seefeldstrasse 102,8008,Zürich
3.0,180,6410,,,
2.0,120,4470,Schönaustrasse 21,8707,Uetikon am See
3.0,220,4140,Frohbergstrasse 36,8620,Wetzikon
