ID,Zimmer,Quadratmet,Preis,PLZ,Adresse,AdressePLZ,City,Canton,Country,result_num,osm_id,display_na,category,type,latlong,full_id,osm_id_2,osm_type,shop,fair_trade,facebook,contact:instagram,type_2,membership,operator:wikidata,email,toilets,stroller,second_hand,payment:cards,internet_access:fee,diet:vegetarian,diet:vegan,diet:pescetarian,diet:kosher,currency:EUR,currency:CHF,air_conditioning,contact:phone,diet:lactose_free,diet:gluten_free,access:covid19,amenity,addr:housename,url,cuisine,payment:debit_cards,payment:credit_cards,organic,phone,start_date,diet:halal,location,layer,toilets:wheelchair,payment:vpay,payment:visa,payment:v_pay,payment:twint,payment:samsung_pay,payment:postfinance_card,payment:mastercard,payment:maestro,payment:google_pay,payment:contactless,payment:coins,payment:cash,payment:apple_pay,payment:app,payment:american_express,internet_access,opening_hours:covid19,old_name,addr:place,cash_withdrawal:type,cash_withdrawal:purchase_required,cash_withdrawal:fee,cash_withdrawal,indoor,website,takeaway,source:opening_hours,level,branch,alt_name,wheelchair,operator,opening_hours,name,check_date:opening_hours,check_date,brand:wikipedia,brand:wikidata,brand,addr:street,addr:postcode,addr:housenumber,addr:country,addr:city,n,distance,feature_x,feature_y,nearest_x,nearest_y
"11","3","91","3010","8006",Winterthurerstrasse 85,"Winterthurerstrasse 85, 8006",Zurich,Zurich,Switzerland,"0","81031293","85, Winterthurerstrasse, Oberstrass, Kreis 6, Zürich, Bezirk Zürich, Zürich, 8006, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.39106295,8.545090236838394",n4827131028,"4827131028",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://filialen.migros.ch/de/migros-supermarkt-zuerich-rigiplatz,,,,Zürich Rigiplatz,Migros Rigiplatz,yes,Genossenschaft Migros Zürich,"Mo-Sa 08:00-21:00; PH off",Migros,2021-10-04,2023-04-19,de:Migros,Q680727,Migros,Winterthurerstrasse,"8006",2-4,CH,Zürich,"1",0.00621989099452463,8.54509023683839,47.39106295,8.5486931,47.3859928
"12","3","84","3220","8064",Wuerzwies 9,"Wuerzwies 9, 8064",Zurich,Zurich,Switzerland,"0","53560041","9, Würzwies, Werdwies, Altstetten, Kreis 9, Zürich, Bezirk Zürich, Zürich, 8064, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3979025,8.492847116023965",n2516241931,"2516241931",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wlan,,,,,,,,,,,,,Zürich Westlink,Coop Westlink,yes,Coop Genossenschaft,"Mo-Sa 06:00-22:00; Su 08:00-20:00",Coop,2023-05-16,,,,,Vulkanplatz,"8048",,CH,Zürich,"1",0.00652353066824751,8.49284711602396,47.3979025,8.4898151,47.3921264
"13","3","81","4740","8003",Zelgstrasse 1,"Zelgstrasse 1, 8003",Zurich,Zurich,Switzerland,"0","11056390823","1, Zelgstrasse, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8003, Schweiz/Suisse/Svizzera/Svizra",man_made,surveillance,"47.36695,8.5227744",n267468996,"267468996",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zürich Manessehof,Coop Manessehof,,Coop Genossenschaft,Mo-Sa 07:30-21:00,Coop,,,,Q432564,Coop,Uetlibergstrasse,"8045","20",CH,Zürich,"1",0.00272891647362225,8.5227744,47.36695,8.521006,47.3648716
"14","3","91","6930","8045",Wolframplatz 1,"Wolframplatz 1, 8045",Zurich,Zurich,Switzerland,"0","238894521","Züri drü Boardinghouse, 1, Wolframplatz, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8045, Schweiz/Suisse/Svizzera/Svizra",building,residential,"47.3622153,8.522196068843808",n267468996,"267468996",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zürich Manessehof,Coop Manessehof,,Coop Genossenschaft,Mo-Sa 07:30-21:00,Coop,,,,Q432564,Coop,Uetlibergstrasse,"8045","20",CH,Zürich,"1",0.00291070327292105,8.52219606884381,47.3622153,8.521006,47.3648716
"15","3","83","2740","8051",Grosswiesenstrasse 165,"Grosswiesenstrasse 165, 8051",Zurich,Zurich,Switzerland,"0","513586616","165, Grosswiesenstrasse, Hirzenbach, Kreis 12, Zürich, Bezirk Zürich, Zürich, 8051, Schweiz/Suisse/Svizzera/Svizra",building,residential,"47.40329025,8.58972705",n614828024,"614828024",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+41 44 273 93 60,,,,,,,yes,,,,,yes,,,,,,,,yes,no,,,,,,,,,https://coop.ch,,,,Zürich Hirzenbach,Coop Hirzenbach,yes,Coop Genossenschaft,Mo-Sa 07:30-20:00,Coop,,2022-10-02,,Q432564,Coop,Hirzenbachstrasse,"8051","40",CH,Zürich,"1",0.00038923875064066,8.58972705,47.40329025,8.5893605,47.4034212
"16","3","67","2650","8006",Universitaetstrasse 73,"Universitaetstrasse 73, 8006",Zurich,Zurich,Switzerland,"0","97234514","73, Universitätstrasse, Oberstrass, Kreis 6, Zürich, Bezirk Zürich, Zürich, 8006, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.38250465,8.547922758363601",n311351743,"311351743",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zürich Universitätstrasse,Coop Universitätstrasse,yes,Coop Genossenschaft,Mo-Sa 07:30-21:00,Coop,,2024-04-05,,,,Universitätstrasse,"8006","73",CH,Zürich,"1",6.93425197011023e-05,8.5479227583636,47.38250465,8.5479921,47.3825043
"17","3","87","2510","8050",Viktoriastrasse 61,"Viktoriastrasse 61, 8050",Zurich,Zurich,Switzerland,"0","89177941","61, Viktoriastrasse, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.406122350000004,8.550913739729301",n926957905,"926957905",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zürich Dorflinde,Coop Dorflinde,yes,Coop Genossenschaft,Mo-Sa 07:00-20:00,Coop,,2024-01-07,de:Coop (Schweiz),Q432564,Coop,,,,,,"1",0.00231258961997482,8.5509137397293,47.40612235,8.5491079,47.407567
"18","3","98","2890","8045",Uetlibergstrasse 29,"Uetlibergstrasse 29, 8045",Zurich,Zurich,Switzerland,"0","343991305","29, Uetlibergstrasse, Alt-Wiedikon, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8045, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.364025850000004,8.520723140083216",n267468996,"267468996",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zürich Manessehof,Coop Manessehof,,Coop Genossenschaft,Mo-Sa 07:30-21:00,Coop,,,,Q432564,Coop,Uetlibergstrasse,"8045","20",CH,Zürich,"1",0.000891797507855066,8.52072314008322,47.36402585,8.521006,47.3648716
"19","3","83","3960","8032",Zeltweg 49,"Zeltweg 49, 8032",Zurich,Zurich,Switzerland,"0","342456131","49, Zeltweg, Hottingen, Kreis 7, Zürich, Bezirk Zürich, Zürich, 8032, Schweiz/Suisse/Svizzera/Svizra",building,residential,"47.367925,8.552201649215174",n271029206,"271029206",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://filialen.migros.ch/de/migros-supermarkt-zuerich-kreuzplatz,,,"0;1",Zürich Kreuzplatz,Migros Kreuzplatz (MM),yes,Genossenschaft Migros Zürich,"Mo-Sa 08:00-20:00; PH off",Migros,2022-10-17,,de:Migros,Q680727,Migros,Kreuzplatz,"8032","20",,Zürich,"1",0.00371350366960532,8.55220164921517,47.367925,8.5538464,47.3645956
"20","3","89","3710","8032",Waldschulweg 21,"Waldschulweg 21, 8032",Zurich,Zurich,Switzerland,"0","113190931","21, Waldschulweg, Hirslanden, Kreis 7, Zürich, Bezirk Zürich, Zürich, 8032, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.36395055,8.572258976315858",n273942728,"273942728",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://filialen.migros.ch/de/migros-supermarkt-zuerich-burgwies,,,,Zürich Burgwies,Migros Burgwies,yes,Genossenschaft Migros Zürich,"Mo-Sa 08:00-20:00; PH off",Migros,2024-04-21,,de:Migros,Q680727,Migros,Forchstrasse,"8008","260",CH,Zürich,"1",0.00640226725227046,8.57225897631586,47.36395055,8.5713693,47.3576104
"21","3","81","1970","8038",Kilchbergsteig 2,"Kilchbergsteig 2, 8038",Zurich,Zurich,Switzerland,"0","4237490092","Kimberly Beauty, 2, Kilchbergsteig, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",shop,beauty,"47.3440685,8.5322441",n1328399518,"1328399518",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkout,no,no,"migros_bank;postfinance_card",,https://www.denner.ch/,,,,,,,,Mo-Sa 08:00-20:00,Denner,2022-10-11,2024-02-05,en:Denner (supermarket),Q379911,Denner,Etzelstrasse,"8038","6",CH,Zürich,"1",0.00157644752846344,8.5322441,47.3440685,8.5307182,47.3444645
"22","3","87","2220","8038",Kilchbergsteig 4,"Kilchbergsteig 4, 8038",Zurich,Zurich,Switzerland,"0","110593242","4, Kilchbergsteig, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3437214,8.53245575",n1328399518,"1328399518",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkout,no,no,"migros_bank;postfinance_card",,https://www.denner.ch/,,,,,,,,Mo-Sa 08:00-20:00,Denner,2022-10-11,2024-02-05,en:Denner (supermarket),Q379911,Denner,Etzelstrasse,"8038","6",CH,Zürich,"1",0.00188978242464587,8.53245575,47.3437214,8.5307182,47.3444645
"23","3","72","2710","8004",Weberstrasse 10,"Weberstrasse 10, 8004",Zurich,Zurich,Switzerland,"0","6495350767","LAMIR International GmbH, 10, Weberstrasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",amenity,car_rental,"47.3706235,8.5286468",n301815692,"301815692",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkout,no,no,"migros_bank;postfinance_card",,https://www.denner.ch/,,,,Zürich Stauffacher,,limited,,Mo-Sa 08:00-20:00,Denner,,,,Q379911,Denner,Werdstrasse,"8004","36",CH,Zürich,"1",0.00235725896965252,8.5286468,47.3706235,8.5294871,47.3728259
"24","3","84","2400","8038",Kilchbergsteig 4,"Kilchbergsteig 4, 8038",Zurich,Zurich,Switzerland,"0","110593242","4, Kilchbergsteig, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3437214,8.53245575",n1328399518,"1328399518",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkout,no,no,"migros_bank;postfinance_card",,https://www.denner.ch/,,,,,,,,Mo-Sa 08:00-20:00,Denner,2022-10-11,2024-02-05,en:Denner (supermarket),Q379911,Denner,Etzelstrasse,"8038","6",CH,Zürich,"1",0.00188978242464587,8.53245575,47.3437214,8.5307182,47.3444645
"25","3","91","3950","8038",Mutschellenstrasse 47,"Mutschellenstrasse 47, 8038",Zurich,Zurich,Switzerland,"0","108519915","47, Mutschellenstrasse, Wollishofen, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8038, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3517088,8.527526816389667",n3740393252,"3740393252",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.leshuk.ch/,,,,,,,,"Mo-We 08:00-19:00; Th 08:00-20:00; Fr 07:30-15:00; Sa, Su, PH off",LeShuk,,,,,,Waffenplatzstrasse,"8002","53",CH,Zürich,"1",0.00689843108150581,8.52752681638967,47.3517088,8.5271404,47.3585964
"26","3","86","6970","8004",Cramerstrasse 8-12,"Cramerstrasse 8-12, 8004",Zurich,Zurich,Switzerland,"0","5944787","Cramerstrasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",highway,residential,"47.3732762,8.5260791",n310789073,"310789073",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checkout,no,no,"migros_bank;postfinance_card",,https://www.denner.ch/,,,,,,yes,,"Mo-Fr 08:00-20:00; Sa 08:00-18:00; PH off",Denner,,,,Q379911,Denner,Wengistrasse,"8004","7",CH,Zürich,"1",0.0031244407275567,8.5260791,47.3732762,8.5234086,47.3748981
"27","3","78","6220","8003",Rotachstrasse 33,"Rotachstrasse 33, 8003",Zurich,Zurich,Switzerland,"0","55757953","33, Rotachstrasse, Sihlfeld, Kreis 3, Zürich, Bezirk Zürich, Zürich, 8003, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.370805649999994,8.514761418968668",n1925758931,"1925758931",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",Zürich Wiedikon,Coop Wiedikon,yes,Coop Genossenschaft,"Mo-Sa 07:30-21:00; PH off",Coop,,,,Q432564,Coop,Birmensdorferstrasse,"8003","200",CH,Zürich,"1",0.00109475762744986,8.51476141896867,47.37080565,8.5158561,47.3707927
