ID,Zimmer,Quadratmet,Preis,PLZ,Adresse,City,Canton,Country,result_num,osm_id,display_na,category,type,latlong,id_2,identifier,REG_NAME,DOC_TITLE,DOC_LINK,LAST_MODI,VALID_FROM,VALID_UNTI,typ_code,typ_name_d,typ_name_f,typ_name_i,TYPE_2,origin,LEVEL_DB,descriptio,descript_1,descript_2,descript_3,remark,n,distance,feature_x,feature_y,nearest_x,nearest_y
"193","1.5","150","6300","8600",Sonnentalstrasse 17,Duebendorf,Zurich,Switzerland,"0","11646209764","17, Sonnentalstrasse, Sonnental, Stettbach, Dübendorf, Bezirk Uster, Zürich, 8600, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.3970392,8.6013708",129,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"54",,,,,,"1",0.001840718087758,8.601370800000000,47.397039200000002,8.602321848294396,47.395463208178853
"194","2.5","8","1780","8600",Am Stadtrand 23,Duebendorf,Zurich,Switzerland,"0","9160528233","23, Am Stadtrand, Hochbord, Stettbach, Dübendorf, Bezirk Uster, Zürich, 8301, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.3983095,8.5973972",88,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"55",,,,,,"1",0.001276437995986,8.597397200000000,47.398309500000003,8.598420894093676,47.397547040584577
"195","1.5","120","3220","8600",Am Giessenpark 11,Duebendorf,Zurich,Switzerland,"0","173900929","Am Giessenpark, Huebwisen, Wil, Dübendorf, Bezirk Uster, Zürich, 8600, Schweiz/Suisse/Svizzera/Svizra",highway,residential,"47.4008027,8.6120478",88,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"55",,,,,,"1",0.000430587134360,8.612047799999999,47.400802700000000,8.611988714774686,47.401229214028405
"196","1","14","2060","8600",Alte Gfennstrasse 12,Duebendorf,Zurich,Switzerland,"0","172588574","12, Alte Gfennstrasse, Bettli, Wil, Dübendorf, Bezirk Uster, Zürich, 8044, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.39559605,8.6262016",148,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"53",,,,,,"1",0.003362089499927,8.626201600000000,47.395596050000002,8.625309825219459,47.398837713700374
"198","1.5","140","4050","8600",Schlossstrasse 88,Duebendorf,Zurich,Switzerland,"0","48565359","88, Schlossstrasse, Geeren, Wil, Dübendorf, Bezirk Uster, Zürich, 8600, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.379255150000006,8.6158236875",148,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"53",,,,,,"1",0.009229319839840,8.615823687500002,47.379255150000006,8.607707670762490,47.374860765285113
"199","1.5",,"4550","8600",Birchlenstrasse 25,Duebendorf,Zurich,Switzerland,"0","44117206","25, Birchlenstrasse, Birchlen, Wil, Dübendorf, Bezirk Uster, Zürich, 8600, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.39893255,8.612841086198877",129,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"54",,,,,,"1",0.000099226564569,8.612841086198879,47.398932549999998,8.612862423552899,47.398835644745034
"200","1.5","18","2670","8600",Alte Gfennstrasse 8 C,Duebendorf,Zurich,Switzerland,"0","1834771366","8c, Alte Gfennstrasse, Bettli, Wil, Dübendorf, Bezirk Uster, Zürich, 8044, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.3952821,8.625964",148,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"53",,,,,,"1",0.003601772182643,8.625964000000000,47.395282100000003,8.625008650775118,47.398754861252115
"201","1","13","2530","8600",Zuerichstrasse 61,Duebendorf,Zurich,Switzerland,"0","44503819","61, Zürichstrasse, Birchlen, Wil, Dübendorf, Bezirk Uster, Zürich, 8600, Schweiz/Suisse/Svizzera/Svizra",building,residential,"47.3960259,8.60971792352302",148,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"53",,,,,,"1",0.001392448069121,8.609717923523020,47.396025899999998,8.610107485899109,47.394689055663385
"202","1.5","16","2500","8600",Meisenweg 14,Duebendorf,Zurich,Switzerland,"0","50271378","14, Meisenweg, Zelgli, Wil, Dübendorf, Bezirk Uster, Zürich, 8600, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.39455635,8.613321928383698",148,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"53",,,,,,"1",0.001005268724052,8.613321928383698,47.394556350000002,8.613042899617964,47.395522118168586
"203","1.5","18","2630","8600",Alte Gfennstrasse 8 C,Duebendorf,Zurich,Switzerland,"0","1834771366","8c, Alte Gfennstrasse, Bettli, Wil, Dübendorf, Bezirk Uster, Zürich, 8044, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.3952821,8.625964",148,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"53",,,,,,"1",0.003601772182643,8.625964000000000,47.395282100000003,8.625008650775118,47.398754861252115
"204","1.5","120","5140","8600",Sonnentalstrasse 13,Duebendorf,Zurich,Switzerland,"0","11646209762","13, Sonnentalstrasse, Sonnental, Stettbach, Dübendorf, Bezirk Uster, Zürich, 8600, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.3968744,8.6019996",129,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"54",,,,,,"1",0.001404056569566,8.601999599999999,47.396874400000002,8.602616563010193,47.395613157955587
"205","1.5",,"4550","8600",Birchlenstrasse 25,Duebendorf,Zurich,Switzerland,"0","44117206","25, Birchlenstrasse, Birchlen, Wil, Dübendorf, Bezirk Uster, Zürich, 8600, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.39893255,8.612841086198877",129,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"54",,,,,,"1",0.000099226564569,8.612841086198879,47.398932549999998,8.612862423552899,47.398835644745034
"206","1.5","120","4650",,,,Zurich,Switzerland,"0","1682248","Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra",boundary,administrative,"47.3744489,8.5410422",148,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"53",,,,,,"1",0.039680261546867,8.541042200000000,47.374448899999997,8.563767610924828,47.406977024057888
"207","1.5","120","4670",,,,Zurich,Switzerland,"0","1682248","Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra",boundary,administrative,"47.3744489,8.5410422",148,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"53",,,,,,"1",0.039680261546867,8.541042200000000,47.374448899999997,8.563767610924828,47.406977024057888
"208","1.5","160","6490",,,,Zurich,Switzerland,"0","1682248","Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra",boundary,administrative,"47.3744489,8.5410422",148,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"53",,,,,,"1",0.039680261546867,8.541042200000000,47.374448899999997,8.563767610924828,47.406977024057888
"209","1.5","150","4240",,,,Zurich,Switzerland,"0","1682248","Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra",boundary,administrative,"47.3744489,8.5410422",148,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"53",,,,,,"1",0.039680261546867,8.541042200000000,47.374448899999997,8.563767610924828,47.406977024057888
"210","1.5","170","7340",,,,Zurich,Switzerland,"0","1682248","Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra",boundary,administrative,"47.3744489,8.5410422",148,ch.admin.bazl.lbk.lszh,LBK Zürich,Lärmbelastungskataster Landesflughafen Zürich,https://www.bazl.admin.ch/dam/bazl/de/dokumente/Politik/Umwelt/Laermbelastungskataster/zuerich.pdf,"20150703","20150703",,176-T-02,Kleinluftfahrzeuge und Grossflugzeuge (06-22 Uhr) Lr,Petits et grands aéronefs (06-22 heures) Lr,,OverallTrafficDay_Lr,EMPA / LRTVBR12_IDEAL_M_V2 / Bericht 461'852 / 11. Januar 2013,"53",,,,,,"1",0.039680261546867,8.541042200000000,47.374448899999997,8.563767610924828,47.406977024057888
